game_id,home_team,away_team,posteam,Home or Away,Total EPA,Total Yards Gained,Air Yards,Turnovers,Total Rush Attempts,Total Pass Attempts,total_away_score,total_home_score,Winner,Winning Team
2019102707,NO,ARI,ARI,0,-10.89914507,237,289,0,11,38,9,31,NO,0
2019102707,NO,ARI,NO,1,15.94814789,510,228,1,29,43,9,31,NO,1
2019102708,TEN,TB,TB,0,-4.432290153,391,458,4,30,48,23,27,TEN,0
2019102708,TEN,TB,TEN,1,-2.258149264,246,337,1,21,36,23,27,TEN,1
2019102709,SF,CAR,SF,1,13.71270675,388,117,1,38,26,13,51,SF,1
2019102709,SF,CAR,CAR,0,-29.3904595,232,326,3,20,44,13,51,SF,0
2019102710,IND,DEN,DEN,0,-8.223127558,279,167,0,28,35,13,15,IND,0
2019102710,IND,DEN,IND,1,1.606492298,318,205,1,31,29,13,15,IND,1
2019102711,NE,CLE,NE,1,-0.65515036,318,253,0,27,39,13,27,NE,1
2019102711,NE,CLE,CLE,0,-11.9020736,310,252,3,22,36,13,27,NE,0
2019102712,KC,GB,KC,1,4.55680388,337,200,1,20,38,31,24,GB,0
2019102712,KC,GB,GB,0,14.78877343,374,236,0,26,38,31,24,GB,1
2019102800,PIT,MIA,MIA,0,-11.65454946,230,299,4,19,38,14,27,PIT,0
2019102800,PIT,MIA,PIT,1,5.155645915,394,479,1,29,38,14,27,PIT,1
2019103100,ARI,SF,ARI,1,15.18629311,359,104,0,23,28,28,25,SF,0
2019103100,ARI,SF,SF,0,17.79603215,411,261,0,31,38,28,25,SF,1
2019110300,JAX,HOU,HOU,0,9.664581983,410,181,1,34,29,26,3,HOU,1
2019110300,JAX,HOU,JAX,1,-16.58640434,356,381,4,15,51,26,3,HOU,0
2019110301,BUF,WAS,BUF,1,9.965367002,268,201,0,39,22,9,24,BUF,1
2019110301,BUF,WAS,WAS,0,-7.399399386,243,144,0,23,26,9,24,BUF,0
2019110302,CAR,TEN,CAR,1,8.291291491,370,399,1,33,35,20,30,CAR,1
2019110302,CAR,TEN,TEN,0,-4.500147929,431,304,3,21,44,20,30,CAR,0
2019110303,KC,MIN,KC,1,8.909682875,377,292,1,18,40,23,26,KC,1
2019110303,KC,MIN,MIN,0,2.53716805,289,240,0,27,38,23,26,KC,0
2019110304,MIA,NYJ,MIA,1,4.605975462,316,343,0,24,40,18,26,MIA,1
2019110304,MIA,NYJ,NYJ,0,-3.492167584,321,269,1,21,42,18,26,MIA,0
2019110305,PHI,CHI,CHI,0,-4.317733437,164,225,1,18,24,14,22,PHI,0
2019110305,PHI,CHI,PHI,1,1.4134102,373,303,0,35,43,14,22,PHI,1
2019110306,PIT,IND,IND,0,-7.723400509,328,182,3,29,37,24,26,PIT,0
2019110306,PIT,IND,PIT,1,-4.828416649,273,192,2,25,36,24,26,PIT,1
2019110307,OAK,DET,OAK,1,14.61200338,450,263,0,36,32,24,31,OAK,1
2019110307,OAK,DET,DET,0,6.800861835,473,464,2,19,43,24,31,OAK,0
2019110308,SEA,TB,TB,0,8.808781598,418,448,1,26,46,34,40,SEA,0
2019110308,SEA,TB,SEA,1,12.31874451,494,346,1,22,47,34,40,SEA,1
2019110309,DEN,CLE,DEN,1,4.815630241,302,181,1,20,23,19,24,DEN,1
2019110309,DEN,CLE,CLE,0,-1.279779127,351,182,0,29,44,19,24,DEN,0
2019110310,LAC,GB,LAC,1,16.74208626,442,238,0,38,30,11,26,LAC,1
2019110310,LAC,GB,GB,0,0.036837347,186,299,0,12,38,11,26,LAC,0
2019110311,BAL,NE,NE,0,0.15607233,342,338,3,17,48,20,37,BAL,0
2019110311,BAL,NE,BAL,1,12.64185435,372,117,1,41,24,20,37,BAL,1
2019110400,NYG,DAL,DAL,0,0.937465061,429,360,2,30,35,37,18,DAL,1
2019110400,NYG,DAL,NYG,1,-14.73739922,271,240,3,22,46,37,18,DAL,0
2019110700,OAK,LAC,LAC,0,-11.90232555,315,397,3,30,36,24,26,OAK,0
2019110700,OAK,LAC,OAK,1,0.295521742,278,183,0,21,34,24,26,OAK,1
2019111000,CHI,DET,CHI,1,-6.247449299,226,221,0,24,28,13,20,CHI,1
2019111000,CHI,DET,DET,0,-7.92755023,357,307,1,27,48,13,20,CHI,0
2019111001,CIN,BAL,BAL,0,21.75047597,370,231,1,23,23,49,13,BAL,1
2019111001,CIN,BAL,CIN,1,-20.00877715,307,225,3,40,32,49,13,BAL,0
2019111002,CLE,BUF,BUF,0,-0.504219616,344,403,0,20,42,16,19,CLE,0
2019111002,CLE,BUF,CLE,1,4.510478148,368,261,0,26,40,16,19,CLE,1
2019111003,GB,CAR,GB,1,11.48186964,388,338,0,27,31,16,24,GB,1
2019111003,GB,CAR,CAR,0,3.690347335,401,358,2,23,47,16,24,GB,0
2019111004,NO,ATL,NO,1,-6.920171782,310,277,0,11,52,26,9,ATL,0
2019111004,NO,ATL,ATL,0,4.4366549,317,260,1,34,36,26,9,ATL,1
2019111005,NYJ,NYG,NYJ,1,0.802374752,294,255,0,29,32,27,34,NYJ,1
2019111005,NYJ,NYG,NYG,0,-6.576979026,283,240,2,17,48,27,34,NYJ,0
2019111006,TB,ARI,ARI,0,8.570837422,417,560,2,18,47,27,30,TB,0
2019111006,TB,ARI,TB,1,11.08530345,457,440,3,26,52,27,30,TB,1
2019111007,TEN,KC,TEN,1,11.60130782,373,251,1,27,23,32,35,TEN,1
2019111007,TEN,KC,KC,0,10.67399259,530,422,1,25,53,32,35,TEN,0
2019111008,IND,MIA,MIA,0,-13.48297811,229,173,2,26,36,16,12,MIA,1
2019111008,IND,MIA,IND,1,-20.21911844,300,401,3,29,40,16,12,MIA,0
2019111009,PIT,LA,PIT,1,-19.03644751,273,250,2,27,41,12,17,PIT,1
2019111009,PIT,LA,LA,0,-25.36649474,306,298,4,23,46,12,17,PIT,0
2019111010,DAL,MIN,DAL,1,12.63030345,443,567,1,22,48,28,24,MIN,0
2019111010,DAL,MIN,MIN,0,16.42055594,366,188,0,36,34,28,24,MIN,1
2019111100,SF,SEA,SEA,0,-21.11907866,336,185,4,34,39,27,24,SEA,1
2019111100,SF,SEA,SF,1,-29.90974557,304,374,3,27,52,27,24,SEA,0
2019111400,CLE,PIT,CLE,1,-13.99629268,293,264,0,35,33,7,21,CLE,1
2019111400,CLE,PIT,PIT,0,-37.15149275,236,436,4,16,48,7,21,CLE,0
2019111700,BAL,HOU,BAL,1,23.79016594,491,210,0,37,27,7,41,BAL,1
2019111700,BAL,HOU,HOU,0,-24.95481713,232,227,2,20,37,7,41,BAL,0
2019111701,CAR,ATL,ATL,0,4.670129042,349,290,0,26,36,29,3,ATL,1
2019111701,CAR,ATL,CAR,1,-23.6991593,347,324,4,15,55,29,3,ATL,0
2019111702,DET,DAL,DAL,0,19.49792592,511,454,1,25,47,35,27,DAL,1
2019111702,DET,DAL,DET,1,8.293870052,312,257,0,28,30,35,27,DAL,0
2019111703,IND,JAX,IND,1,16.07220054,389,219,1,36,27,13,31,IND,1
